Date,Open,High,Low,Close,Adj Close,Volume
2000-01-10,488.309998,505.959991,488.309998,501.890015,501.890015,1064800000
2000-01-11,501.890015,501.910004,492.559998,492.609985,492.609985,1014000000
2000-01-12,492.609985,494.839996,487.089996,490.040009,490.040009,974600000
2000-01-13,490.040009,501.190002,490.040009,501.190002,501.190002,1030400000
2000-01-14,501.190002,508.109985,501.190002,507.559998,507.559998,1085900000
2000-01-18,507.559998,513.460022,506.200012,513.460022,513.460022,1056700000
2000-01-19,513.460022,520.02002,511.890015,520.02002,520.02002,1087800000
2000-01-20,520.02002,528.22998,520.02002,527.280029,527.280029,1100700000
2000-01-21,527.280029,533.950012,526.659973,533.940002,533.940002,1209800000
2000-01-24,533.940002,540.599976,522.27002,522.950012,522.950012,1115800000
2000-01-25,522.960022,525.27002,513.690002,521.590027,521.590027,1073700000
2000-01-26,521.590027,524.390015,520.359985,521.039978,521.039978,1117300000
2000-01-27,521.039978,526.02002,513.72998,517.02002,517.02002,1129500000
2000-01-28,517.02002,517.109985,503.059998,504.619995,504.619995,1095800000
2000-01-31,504.619995,504.619995,488.529999,496.230011,496.230011,993800000
2000-02-01,496.230011,503.75,492.649994,503.75,503.75,981000000
2000-02-02,503.75,511.459991,503.75,509.890015,509.890015,1038600000
2000-02-03,509.890015,521.630005,509.890015,521.630005,521.630005,1146500000
2000-02-04,521.630005,527.289978,521.630005,525.52002,525.52002,1045100000
2000-02-07,525.52002,532.400024,525.52002,532.390015,532.390015,918100000
2000-02-08,532.390015,539.150024,532.390015,537.48999,537.48999,1047700000
2000-02-09,537.51001,541.429993,534.900024,536.0,536.0,1050500000
2000-02-10,536.01001,542.210022,536.01001,542.210022,542.210022,1058800000
2000-02-11,542.210022,544.02002,534.640015,537.099976,537.099976,1025700000
2000-02-14,537.099976,539.940002,533.51001,539.940002,539.940002,927300000
2000-02-15,539.97998,540.359985,533.080017,540.23999,540.23999,1092100000
2000-02-16,540.23999,549.679993,540.23999,547.76001,547.76001,1018800000
2000-02-17,547.76001,559.080017,547.76001,558.419983,558.419983,1034800000
2000-02-18,558.419983,560.349976,544.330017,545.679993,545.679993,1042300000
2000-02-22,545.679993,547.549988,531.400024,540.950012,540.950012,980000000
2000-02-23,540.950012,549.929993,540.950012,549.909973,549.909973,993700000
2000-02-24,549.909973,556.23999,547.330017,554.039978,554.039978,1215000000
2000-02-25,554.039978,561.049988,554.039978,556.73999,556.73999,1065200000
2000-02-28,556.73999,559.809998,548.130005,557.679993,557.679993,1026500000
2000-02-29,557.679993,577.719971,557.679993,577.710022,577.710022,1204300000
2000-03-01,577.710022,589.380005,577.710022,588.349976,588.349976,1274100000
2000-03-02,588.349976,591.409973,579.799988,584.039978,584.039978,1198600000
2000-03-03,583.909973,597.880005,583.909973,597.880005,597.880005,1150300000
2000-03-06,598.190002,604.01001,598.190002,601.640015,601.640015,1029000000
2000-03-07,601.619995,606.869995,595.150024,595.469971,595.469971,1314100000
2000-03-08,595.469971,600.390015,579.159973,594.679993,594.679993,1203000000
2000-03-09,594.73999,606.049988,591.700012,606.049988,606.049988,1123000000
2000-03-10,606.109985,614.159973,603.799988,603.809998,603.809998,1138800000
2000-03-13,603.809998,603.809998,582.919983,590.140015,590.140015,1016100000
2000-03-14,590.140015,600.530029,572.559998,572.98999,572.98999,1094000000
2000-03-15,572.98999,576.47998,556.429993,558.869995,558.869995,1302800000
2000-03-16,558.880005,574.23999,546.219971,574.23999,574.23999,1482300000
2000-03-17,574.23999,576.580017,567.369995,574.77002,574.77002,1295100000
2000-03-20,574.789978,574.789978,548.820007,549.200012,549.200012,920800000
2000-03-21,549.200012,552.789978,530.869995,552.789978,552.789978,1065900000
2000-03-22,552.789978,571.23999,552.789978,571.190002,571.190002,1075000000
2000-03-23,571.190002,577.909973,571.190002,573.789978,573.789978,1078300000
2000-03-24,573.789978,583.27002,571.200012,574.01001,574.01001,1052200000
2000-03-27,574.01001,577.799988,572.640015,573.650024,573.650024,901000000
2000-03-28,573.650024,573.650024,559.039978,559.039978,559.039978,959100000
2000-03-29,559.039978,561.77002,541.359985,543.0,543.0,1061900000
2000-03-30,543.0,545.890015,524.27002,531.570007,531.570007,1193400000
2000-03-31,531.570007,544.320007,526.929993,539.090027,539.090027,1227400000
2000-04-03,539.02002,539.469971,515.559998,516.039978,516.039978,1021700000
2000-04-04,516.01001,520.130005,464.079987,506.119995,506.119995,1515460000
